Architecture,Column,Mean (Bias 1.0),Mean (Bias 10.0),t-statistic,p-value,Significant (p<0.05)
ResNet,coverage_eyes,0.14085763571234505,0.1455419031155137,-0.8927101894706244,0.37646621893414434,No
ResNet,coverage_mouth,0.11161672109965869,0.07334164510859593,8.680176805855123,2.1064404582074233e-11,Yes
ResNet,coverage_nose,0.15780592482351385,0.17026108965076417,-2.495047057803313,0.016086746076187,Yes
SimpleCNN,coverage_eyes,0.103152590302915,0.11853854146858785,-1.1810080686992863,0.24366991699581686,No
SimpleCNN,coverage_mouth,0.07594103263623712,0.0798747674193772,-0.6537221796843347,0.5165455779198005,No
SimpleCNN,coverage_nose,0.13043262160576788,0.11656228488452348,1.5267161260179987,0.13367885633617116,No
