Architecture,Column,Mean (Bias 1.0),Mean (Bias 10.0),t-statistic,p-value,Significant (p<0.05)
ResNet,attribution_eyes,0.12061607786523779,0.12276463403292354,-1.106356553775635,0.2740863522115699,No
ResNet,attribution_mouth,0.10344665385697369,0.08051115984480899,10.420143386759447,6.470663831380544e-14,Yes
ResNet,attribution_nose,0.1265337431539202,0.13281927836536844,-2.362783282843963,0.022238442473501235,Yes
SimpleCNN,attribution_eyes,0.09347693060991207,0.11294891834351654,-2.8764877349114513,0.006076002133767824,Yes
SimpleCNN,attribution_mouth,0.08087751695214412,0.09254873735664687,-3.29928185488998,0.0018766582128714095,Yes
SimpleCNN,attribution_nose,0.10678213459712405,0.1106415463525506,-1.0874249912016143,0.28251415732943547,No
